Train Epoch: 293, Loss: 0.472444, Test Average loss: 0.6644, Accuracy: 82.55%  
Train Epoch: 294, Loss: 0.466686, Test Average loss: 0.7071, Accuracy: 83.35%  
Train Epoch: 295, Loss: 0.484184, Test Average loss: 0.6545, Accuracy: 83.0%  
Train Epoch: 296, Loss: 0.534654, Test Average loss: 0.6614, Accuracy: 84.2%  
Train Epoch: 297, Loss: 0.590608, Test Average loss: 0.5693, Accuracy: 83.45%  
Train Epoch: 298, Loss: 0.483602, Test Average loss: 0.5193, Accuracy: 82.7%  
Train Epoch: 299, Loss: 0.431997, Test Average loss: 0.4799, Accuracy: 82.85%  
Train Epoch: 300, Loss: 0.499134, Test Average loss: 0.5950, Accuracy: 82.3%  
Train Epoch: 301, Loss: 0.531412, Test Average loss: 0.6340, Accuracy: 82.7%  
Train Epoch: 302, Loss: 0.469111, Test Average loss: 0.6052, Accuracy: 82.75%  
Train Epoch: 303, Loss: 0.505106, Test Average loss: 0.5979, Accuracy: 83.45%  
